CID,Canonical_SMILES
1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
2,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
3,C1=CC(C(C(=C1)C(=O)O)O)O
4,CC(CN)O
5,C(C(=O)COP(=O)(O)O)N
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
7,CCN1C=NC2=C(N=CN=C21)N
8,CCC(C)(C(C(=O)O)O)O
9,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
10,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
11,C(CCl)Cl
12,C1=C(C=C(C(=C1O)O)O)O
13,C1=CC(=C(C=C1Cl)Cl)Cl
14,CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
16,C1CCC(=O)NCCCCCC(=O)NCC1
17,C1C=CC(=NC1C(=O)O)C(=O)O
18,C(C(C(C(=O)C(=O)C(=O)O)O)O)O
19,C1=CC(=C(C(=C1)O)O)C(=O)O
20,C1=CC(=C(C(=C1)O)O)CCC(=O)O
21,CCC(C(=O)C)(C(=O)O)O
22,CC(=O)C(C)(C(=O)O)O
23,C(=CC(=C(C(=O)O)N)C(=O)O)C=O
24,C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O
25,C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O
26,CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O
27,C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
28,C(=CC(=O)O)C=C(C(=O)O)N
29,C(=O)C(C(=O)O)N
30,C(=CC=O)C=C(C(=O)O)N
31,CC(CO)(C(COP(=O)(O)O)O)O
32,C(=CC(=O)O)C=C(C(=O)O)C(=O)O
33,C(C=O)Cl
34,C(CCl)O
35,C1=CC(OC1=O)(CC(=O)O)Cl
36,CC(C)C(C(C(=O)O)O)C(=O)O
37,C(C(C(CO)O)O)C(=O)C(=O)O
38,CC(C)(CO)C(=O)C(=O)O
39,CC1(COC(=O)C1=O)C
40,C1C(C(C(OC1O)CO)O)O
41,CSCCC(=O)C(=COP(=O)(O)O)O
42,C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O
43,C(CC(=O)O)C(C(=O)O)O
44,C(C(=O)[O-])(C(=O)[O-])O
45,C(C(=O)O)(C(=O)O)O
46,C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O
47,CCC(C)C(=O)C(=O)O
48,C(CC(=O)N)C(=O)C(=O)O
49,CC(C)C(=O)C(=O)O
50,C(C(C(C(C(=O)C(=O)O)O)O)O)O
51,C(CC(=O)O)C(=O)C(=O)O
52,CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
53,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
54,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
55,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C
56,CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C
57,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
58,CCC(=O)C(=O)O
59,C(C(C(=O)O)OP(=O)(O)O)O
60,CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O
61,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
62,C1=C(C(C=C(C1O)Cl)Cl)Cl
63,CC(CC(C(=O)O)N)N
64,C1=C(C(C=C(C1O)Cl)O)Cl
65,C1=C(C(=CC(=C1Cl)O)Cl)O
66,C1=CC(=C(C=C1Cl)O)Cl
67,C(C(=O)C(C(C(=O)C(=O)O)O)O)O
68,CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
69,CC(=O)C=CC=C(C(=O)O)O
70,CC(C)CC(=O)C(=O)O
71,C(CC(=O)C(=O)O)CC(=O)O
72,C1=CC(=C(C=C1C(=O)O)O)O
73,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
74,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
75,C(CN)C=O
76,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
77,CC(C)C(CC(=O)O)(C(=O)O)O
78,C(C(C(=O)O)N)Cl
79,C1=CC(=CN=C1)C#N
80,C1C(C(C(=O)C=C1C(=O)O)O)O
81,C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
82,C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O
83,C(C(=O)C(=O)O)P(=O)O
84,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O
85,C[N+](C)(C)CC(CC(=O)O)O
86,C1=CC(=C(C(=C1)O)N)C(=O)O
87,CC(CO)C(=O)O
88,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
89,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
90,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O
91,C1=CC(=CC(=C1)O)CCC(=O)O
92,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O
93,C(CC(=O)O)C(=O)CC(=O)O
94,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O
95,C(C(C(C(=O)C(C(=O)O)O)O)O)O
96,CC(=O)CC(=O)O
97,C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O
98,C(C(=O)C(=O)O)S
99,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
100,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C
101,C1=CC(=CC(=C1)O)C=O
102,C1=CC(=CC(=C1)O)CO
103,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C
104,C1C=C(OC1=O)CC(=O)O
105,C(C(=O)C(=O)O)OP(=O)(O)O
106,C(C(C(=O)O)N)OP(=O)(O)O
107,C1=CC=C(C=C1)CCC(=O)O
108,C1=CC(=CN=C1)CC(=O)O
109,C(C(C(=O)O)N)S(=O)O
110,C(C(=O)C(=O)O)S(=O)O
111,C(CNC(=O)N)C(=O)O
112,C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O
113,C(C(C(=O)C(=O)O)O)OP(=O)(O)O
114,C1=CC(=CN=C1)CCCC(=O)O
